"Three Billboards Outside Ebbing, Missouri (2017) ",8.2,1h 55min,23 February 2018,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Shutter Island (2010) ,8.2,2h 18min,4 June 2010,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
The Gold Rush (1925) ,8.2,1h 35min,13 July 1925,A prospector goes to the Klondike in search of gold and finds it and more.
Chinatown (1974) ,8.1,2h 10min,20 June 1974,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
Babam ve Oglum (2005) ,8.3,1h 52min,18 November 2005,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
No Country for Old Men (2007) ,8.1,2h 2min,18 January 2008,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
V for Vendetta (2005) ,8.2,2h 12min,4 October 2017,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
Inside Out (2015) ,8.1,1h 35min,26 June 2015,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Det sjunde inseglet (1957) ,8.2,1h 36min,16 February 1957,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
The Elephant Man (1980) ,8.1,2h 4min,10 October 1980,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
The Thing (1982) ,8.1,1h 49min,10 December 1982,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Warrior (2011) ,8.2,2h 20min,31 October 2015,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
The Sixth Sense (1999) ,8.1,1h 47min,21 May 2019,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
Trainspotting (1996) ,8.1,1h 33min,23 February 1996,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
Jurassic Park (1993) ,8.1,2h 7min,15 April 1994,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
Soul (2020) ,8.2,1h 40min,25 December 2020,A musician who has lost his passion for music is transported out of his body and must find his way back with the help of an infant soul learning about herself.
The Truman Show (1998) ,8.1,1h 43min,14 November 1998,An insurance salesman discovers his whole life is actually a reality TV show.
Klaus (2019) ,8.2,1h 36min,16 November 2019,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Anand (1971) ,8.4,2h 2min,12 March 1971,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
